headline,sentiment
KEREKE E LEBOHELA MORENA KA MPHO EA SEHLABELO SA 'MISA,positive
MONNA O FUMANOA A KHAOTSOE HLOOHO,negative
TONAKHOLO O LAETILE TOROPO KA BOBOLU,negative
BANNA BA HLAHA KHOTLA KA POLAO EA MOLISANA,negative
MONNA O FOSOA KA LETHALA LA LIKULO,positive
NTAELE MORENA KE MOFO OA HAU THATO KE TLA PHETHA EA HAU,positive
LEKALA LE NKA MONGA KOMPONE EA TOKISO EA MAKOLOI KA LECHOBA,negative
MONNA O QETA HO THUNYETSOA KAPELA MOSALI OA HAE,negative
BONA LIMAKATSO TSA MOLIMO,positive
BASHEMANE BA SHOELLA MEPHATONG ,negative
MONNA O KHUTLA NTŠING TSA LEFU HO TSEKOA MOSALI,negative
SEPOLESA SE HLAHLOBA MEHLAPE METEBONG,neutral
MOOKAMELI  O LOHOTHA HO THEHA  PHATHI E NCHA,neutral
MAPOLESA A PHOLOSA MOSALI O NE A ILO BOLAELOA LICHELETE TSA MONNA,negative
MONNA O HLAHA KHOTLA HAPE KA LITLOLO TSA MOLAO,negative
MOETAPELE O TŠOEROE NAHENG EA BOAHISANE,negative
MOOKAMELI  O JESA LIOFISIRI MAKAKA,negative
KOLOI EA BAETI E CHESITSOE,negative
LESECHURITHI LE UTSOA HALOFO EA MILIONE KA SETHUNYA,negative
MONNA EA FUMANOENG MOSALING OA MOTHO LEFISOA M5 000,negative
TSEBISO E POTLAKILENG HO SECHABA,neutral
MOHATSA OA MOPORESITENTE O LLELOA KE LITŠEPE,negative
AKHENTE E TSOLISA BOOKAMELI BA SEPOLESA,negative
BACHA BA MOKHA OA POLOTIKI BA RE MOLAO O MASOBA,negative
MOPOLOTIKI O RE SEPOLESA SE POTA-POTILE HA HAE KA LITHUNYA,negative
MOPARAMENTE O EMA LE SECHABA KHAHLANONG LE KOMPONE EA MARANG-RANG,positive
MOLOI O TŠOAROA HOTELENG,negative
BAAHI BA KOETSE TSELA,negative
LEKHOTLA LE FUMANA MONNA A LE MOLATO KA BOSHOLU BA LIPHOOFOLO,negative
MOKOETLISI OA SEHLOPHA SA BOLO O FUMANE KOTSI O LEMETSE,negative
MOHLEKEFETSI OA NGOANA O LLELOA KE LITŠEPE ,negative
BASEBETSI BA NGALA MOSEBETSI BA RE MOHIRI KE MOIKHANTŠI OA MOPOLOTIKI,negative
HO TŠOAROA HOA MOETAPELE KE 'MOMORI O HLOPHISITSOENG,negative
MOITHUTI O PHOMOLITSOE KA PHUPU E MAHLONOKO MAOBANE,negative
METSOFE E KHUTLILE E SA KHOLA MAOBANE ,negative
SECHABA SA MOKHOTLONG SE PHEPHETHELA MOKHOTHALETSUOA,negative
BANNA BANA BA BATLOA,negative
SETSI SA POKELLO EA LITLHARE SE BULOA SE 'MUSO SETEREKENG,positive
BAITHUTI BA SEKOLO BA KOPANE LE PELA LIFALLA MAOBANE BOSIU SETEREKENG,negative
MONNA O LAHLOA KE SEPOKO,negative
TONAKHOLO O LOKISA LITSELA TSEO ESALENG LI LEBALOA,positive
MANOMORO A TSOANG TLHABOLLONG A SE A BOLAILE LENOMORO BA MOHLABILE KA THIPA ,negative
HO TŠEPA MOTHO KE HO POKOTHA NOHA,negative
BANNA BANA BA NTSE BA BATLOA KE SEPOLESA ,negative
SETHO SA PHATHI SE MAKALLA POLELO EA LITSI TSA TŠIRELETSO,negative
SEPOLESA SE BUA LE BANA BA SEKOLO,positive
MAPOLESA A KA BANG 6 A BEHELLOA KA THOKO HO MOSEBETSI HO NTO ETSUOA LIPATLISISO KA LEFU LA MOITHUTI OA SEKOLO,negative
HO NTSENG HO NA HA SE PULA KE MEEOKHO EA BALATELI BA SEHLOPHA SA BOLO,negative
BALISANA BA TŠOELISA LESHOLU LIKHOMO,positive
KOLOI E UTSUOE  MOTSENG BOSIUNG BA MAOBANE,negative
MOAHLOLI O BUA LESHANO KA KHOTLA O RE LELEME LE THELETSE,negative
MONNA O NKELA KHOEBO THEPA KA MASENE A PHOKOJOE,negative
MOLISANA O BOLAOA A ALOSELITSE LETOBONG O BATOA KA LEJOE LE LE LENG,negative
BA RE MOOKAMELI A QOSETSOE BOHLABA-PHIEO,negative
LITHO TSA MOKHA LI IPELAETSA KHAHLANONG LE HO PETLENYOA HOA BAKHOTHALETSUOA,negative
MOOKAMELI  KE MOFEREKANYI EA LESHANO,negative
TONAKHOLO O AMOHA BALOTSANA LITŠA TSA 'MUSO,positive
NAHA LE TIISA LEANO LA TŠIRELETSO EA BOQAPI,positive
BAOKI LE LINGAKA BA NGALA MOSEBETSI BOESA,negative
MOHLANKANA O NOA MAFURA PHEHANG A HLOBOTSE LEHLOENG,positive
BOHANYETSI BO QETA HO IPALA,positive
BA SEBOKO KA HO NYOLOHA HOA MAKOLOI,negative
LEKALA LE TŠOARA P.S. EA MEHLENG KA BOBOLU O SETOKISING KAJENO,negative
MOSALI O SA NTSA NYOFA BATHO HAPE,negative
LILEMO LI LESHOME CHANKANENG KA HO UTSOETSA KEREKE,negative
SEPOLESA SE MO LAKATSA JOALOKA NAMA EA FARIKI,positive
MOCHOCHISI OA MOLATA O TLO QOSOA,negative
MOHLOMPHEHI TONAKHOLO O FIHLA SETEREKENG MOO A AMOHELOANG KE LIPALAMI TSA LIPERE,positive
AMERIKA E FA NAHA SENYETHE SA CHELETE,positive
HO QHALOA MANYALO A 13 KAJENO,negative
LITSI TSA TŠIRELETSO LI EPA PITSO MOTSENG  ,neutral
MOSHANYANA O LLELOA KE LITŠEPE KA POLAO,negative
'MUSO O UTSOA 6 BILLION EA SECHABA,negative
MOLAO OA LIKHETHO O FETOHILE,neutral
TEREKERE E TSOHA E CHESITSOE LORE,negative
BATHO BAA E LE HORE BA MPA BA ITHATELA LIKIPA TSE MONNA MPENG KAPA E HLILE KE BANA BA LELAPA LEO,neutral
HOSANE HO LEBELETSOE LIKHOHOLA TSE MATLA,negative
MOLAOLI OA SESOLE O BUILE KA THATA HOLIMA LESOLE LA HAE SETEREKENG,negative
COMMANDO CORPORAL O TLA BOLOKOA ,negative
LITABA TSE MONATE HO SECHABA,positive
O KHAMME MOSALI'AE HO FIHLELA A 'MOLAILE,negative
MOPOLOTIKI O PHOQA LEQHEKOANA,positive
MOPARAMENTE O THUNYELITSOE LEFU KAJENO ,negative
HO BOLAUOE MOTHO HAPE,negative
LEHLOA LE NTSE LE KHETHEHA KAJENO,neutral
MAPOLESA A BASALI A ETELA SEKOLO,positive
BA ROTELA 'MOLO OA MOPARAMENTE,negative
MOSALI OA SETEREKENG O PHETHA MASISA-PELO KA LENYALO LA HAE,negative
MOSALI O MATJALENG,negative
MONNA O LAHLETSOE KA NTLOANENG O HLAHELLETSE KA LEOTO,negative
MOPOLOTIKI O LEBOHISA SEBAPALI,positive
'MUSO O RERETSOE BOBE,negative
AUSI O NYAMETSE ESALE A RE O EA TOROPONG LE BOYFRIEND,negative
BA BONE SATANE FACE TO FACE,negative
MONNA O QHALA LENYALO LA MONNA E MONG,negative
MOSALI O FUMANA MONNA LE NGOANABO BA KHALEHILE AE AKHETSE KA HARA LEUPA,negative
MAROKHO A MAOTO A NTSE A AHOA KA MALOTING,positive
MOFU O SITSITSOE JA NGOANA MOSHANYANA KAJENO,positive
BAITHUTI BA SEKOLO BA KHUTLA LIKAPESONG BA SENA MANGOLO,negative
PARAMENTE E KHEFULITSE KA LEBAKA LA NYEOE,negative
PHATLALATSO EA SEPOLESA MABAPI LE HO KHAFELOA HOA LITHUNYA,neutral
SEKOLO SE SEHOLO SE KENYA LETSOHO NTLAFATSONG EA SEPOLESA,positive
LETONA LE  NYAKALLETSE ,positive
MONNA O AHLOLOA LILEMO TSE 31 KA POLAO EA LESOLE,negative
MACHAENA A QOSOA KA HO HLASELA 'MOSHARA LE HO UTSOA LITHUNYA ,negative
TONAKHOLO O QALELETSE HO FEPA SECHABA,positive
MOETAPELE O HAHELA MORENA OFISI LE HOLO,positive
MONNA O NYA MATSETE KAMORA HO BOLAEA MOSALI EA RENG O NE A MOFA HA MONATE,negative
MOSALI O JOOA LIKETE TSE HLANO KE MOSALI E MONG SETEREKENG,negative
MOTSOALLE OA MOQHOBI OA LEPHELE ESALE A NYAMELA KA KOLOI,negative
KOMPONE E NYOLLA MOTLAKASE BA RE BA O NYOLLA KHOELI ENA E TLANG,negative
BATHO BA ROBONG BA TŠOEROE,negative
BA BOLAEA MOOKAMELI SETEREKENG,negative
TSEBA MATONA A MACHA LE BATLATSI,positive
MOKHETHOA OA KHEKHETHANE TLASA SEKHELE SA MOKHATLO,neutral
HO LEBELETSOE LEHLOA LE LENGATA LE ELETSOA HO BA HLOKOLOSI,negative
MOFU O FUMANOA A NA LE MATŠOAO A PETO,negative
SEFAKO SE TABOLA KHOMO KA LEHARE,negative
MONNA KE MOFU,negative
MONNA A BOLAILENG BATHO O LOKOLLOA KA BEILI,negative
MOSALI O THUNTSOE SEBONOANG ,negative
SETEREKE SE KOALA KHOELI EA MOSALI OA MO-AFRIKA ,positive
'MOLAI OA BATHO BA BABELI O LOKOLLOA KA BAIL EA M2 000,negative
SEBINI SA 'MINO OA FAMO SE FUOA KHAU,positive
SETOPO SA MOSALI SE FUMANOA SE SUTETSOE SEKATANA KA HANONG SETEREKENG,negative
LEKHOTLA LE AHLOTSE MONNA EO ESALENG A ROBALA LE MORALI'AE,negative
LEPOLESA LE RAHA MONNA KA MARETENG HA A ITLHALOSA,negative
MOKHETHOA O TŠOEROE KA BOSHOLU,negative
BARUTOANA BA SEKOLO BA CHESITSE SEKOLO KAJENO BA ILE BA BALEHELA THABENG KAMORA KETSO ENA,negative
MOHLANKA O QHAUTSOA KA BOQHEKANYETSI BA CHELETE,negative
MORALI O FUMANA 'MAE A BOLAUOE,negative
MOSALI O RE BANA BA KHUTLELE HO LEQHEKU LE BA BETE,negative
MONNA O BATLOA KA HO QHEKETSA LE BOSHOLU,negative
BA RE BAHLOMPHEHI BA LELEKOE PARAMENTENG,negative
TSEBA KA BAPOLOTIKI BA FUOENG MOSEBETSI MAKALENG A MUSO,positive
MOHOEBI OA LEINDIA O FUOA BEILE EA M500 000,negative
MONNA MATJALENG,negative
RE HETLA MORAO MOO RE TSOANG TENG,neutral
BABELAELLOA BA FUMANOA BA HOEBA KA LITHETHEFATSI KA THOKO HO MOLAO,negative
NTOA EA MARANGRANG E TUKA MALAKABE ,negative
KOLOI E PHETHOHA KA BATHO,negative
MOETAPELE O REKA LIKOLOI TSE PELI TSE NCHA CASH,positive
BANNA BA KENA KA MARULELO JOALOKA LITALI ,negative
KOMPONE E QOBELLA BASEBETSI HO NKA ID HA BA TŠELA CHELETE,negative
O BETA NGOANANA EA LILEMO TSE LESHOME LE METSO E MENE,negative
KE TLOLO EA MOLAO HO TIMA BOMME CHELETE,negative
LIKOLOI LI THULANA SA LIPHELEU,negative
MOHOEBI O BOLAOA SEHLABENG,negative
TLHOKOMELISO KOTSI EA EXTENSION CORD,negative
MASAPO A MONNA A PHUTHOA KE SEPOLESA,negative
LE KAJENO LITŠEPISO TSA TONAKHOLO LE LETONA HA LI SO PHETHAHALE,negative
MOKHATLO O PHURA LESHOETLA LE BASALI,positive
SEPOLESA SE EPELA SECHABA PITSO,positive
BA RE MONNA A NKELOE KHATO KA HO SOTLA NGOANA,negative
KOLOI E UTSUOENG MAOBANE E FUMANOA E RETLUOE KAJENO,negative
MONOKOTŠOAI HA O BUTSOE HO LATELA TAKATSO EA TŠOENE,negative
BANNA BA MATJALENG KA HO TSEKA LENTSOE MONNA,negative
MONNA O KHAMA MOSALI OA HAE HO FIHLELA A NEHELA MOEA,negative
NGOANANA EA ILENG A BETOA LE HO BOLAOA O OA BOLOKOA MOTSENG,negative
TLHALOSO EA MAEMO A LEHOLIMO,neutral
BAITHUTI BA SEKOLO SE PHAHAMENG BA RE MAPOLESA A BA BOLAE KAOFELA,negative
BONA BASUOE BA BOLAETSENG MOSHEMANE MOPHATONG ,negative
TSEBA KA LEFAPHA LA TAOLO EA LITAEMANE LE LITHETHEFATSI,neutral
MOETAPELE O TŠEPISA MOSALI NTLO,positive
BANNA BA NTLOANA-TŠOANA KA BOSHOLU BA LIPHOOFOLO,negative
LITŠEPISO TSA TONAKHOLO LI FETOHA LEFELA,negative
MOKHETHOA O NGOLLOA MOKHOEPHAHALI OA LENGOLO,negative
SECHABA SE MO KHAKHATHELA LEFU,negative
MOSALI O JA MONATE,positive
NGOANA EA LILEMO LI 16 O BOLAEA MOTHO,negative
UTLOA MELEKO E ETSHAHETSENG HA MOHLANKA OA 'MUSO A TLA BOLAOA BOSIUNG BA KAJENO,negative
TONAKHOLO O TLO BUA LE SECHABA,neutral
KOTSI E NYAROSANG HA MORUTHOANE,negative
SEPOLESA SE FUMANA SETOPO SA MOHLOMPHEHI KA BUTING ,negative
HA BA RE TLA BA THULANA LE THIBELLA MOTSENG,negative
MOOKAMELI KE LEHLABA-PHIEO O LOKELA HORE A TŠOAROE,negative
NYATSI E ABELOA M1 MILONE MONGA MONNA O TSOA KA LEHE,negative
MOTHUSI OA MOLETSA PHALA O PHAHAMISA FOLAKHA EA NAHA,positive
UTLOA NA HLOOHO EA LELAPA O RENG KA LEFU LA MOSALI-AE LE MORA OA HAE,negative
NTJA E ROAKA MOETI ,negative
MONNA O NKELOA CHELETE E KAHOLIMO HO M70 000 SETEREKENG KE LITSOTSI,negative
SEPOLESA SE QETA HO INOLA MOFU LETAMONG ,positive
LEPOLESA LE HLAHILE KHOTLA KAJENO KA PETO EA MONNA E MONG HAPE,negative
MONYETLA OA LEHLOA KAJENO LE HOSANE O TENG,neutral
LIKETSOANA TSENA LI NE LI REKOE KA M2.7 MILLION LI LE 30 PUSONG E FETILENG ,negative
MOQHOBI OA LEPHELE O BOLAEA E MONG HO TSEKOA MOETI,negative
LEHLOA LE TLO KHETHEHA HAPE PELE HO MAFELO A BEKE,neutral
MOSALI O AHLOLOA LILEMO TSE HLANO NTLOANA-TŠOANA,negative
BONA MAHLASIPA A SEBOHOLI,negative
MONNA O TJAMETSOE KE QOSO EA HO KHAKHATHA MOTHO,negative
MOLATA O AHLOLOA M20,negative
KOTSI E MPE SETEREKENG,negative
KOMPONE E KOETSOENG KA MOLAO NAHENG EA BOAHISANE E WINNA TENDERA,negative
SECHABA BA KOETELA LESOLE LA NAHA EA BOAHISANE,negative
NYATSI E JOETSA MOSALI HORE E MO NKETSE MONNA,negative
MOLOI OA MOSETSANA O TŠOEROE O BUA LIKAKATA,negative
HO ETSAHETSE KOTSI E MPE EA KOLOI,negative
NGOANANA O SHEMOLA NTATAE SEPHAKA ,negative
RE EA LIHOPOLA LE TSONA ,neutral
MOOKAMELI O KHANNGOE KE LIPOTSO KA KHOTLA,negative
MONNA OA TŠOAROA A NTSE A BETA KHOMO,negative
MOFU O NTSE A RAPALLETSE FATŠE,negative
CHELETE EA LIPAMPIRI LE EA TŠEPE LI TLO FELISOA,neutral
SECHABA SE BOLAOA JOALO KA LINYAMATSANE,negative
BATHO BA 11 BA HLOKAHETSE HA BA BANG BA TSOILE LIKOTSI NAKONG EO THAPO EA KECHE E NENG E KHAOHA MORAFONG ,negative
MOPARAMENTE O PEPESA BOFOKOLI BA TONAKHOLO,negative
'MOLAI OA 'MISI O AHLOLOA LILEMO TSE MASHOME A METSO E ROBONG NTLOANA-TŠOANA,negative
LEKHOTLA LE RE KOMISI E FOSITSE,negative
MOSALI O OA NYALA,positive
BAITHUTI  HA BA ESO ABELOE MANGOLO,negative
MOOKAMELI O LITLAMONG TSA SEPOLESA KA HO JA MOLISANA MAOTOANA,negative
NGOANA OA SEBINI O PASA HANTLE NAHENG EA BOAHISANE,positive
MOSALI O SA TSOA THUNYETSOA LEFU MOTSENG,negative
BANNA BA HLAHA KHOTLA KA TLHEKEFETSO EA MOTABO,negative
KOMPONE E FAFATSA LI MUSK TSA MAHALA KA HARE HO SETEKERE,negative
BABELAELLOA LIPOLAONG TSA BATHO BA LLELOA KE LITŠEPE ,positive
MOCHOCHISI O RE PAKI E TŠOAROE,negative
PHATLALATSO EA LITABA,neutral
BANNA BA UTSOA LINKU BA LAHLA MAKOKO FEELA,negative
BA NKA KOLOI EA HAE KA LITHUNYA,negative
MONNA O AHLOLELOA BOPHELO BOHLE CHANKANENG HABELI,negative
UTLOA LITABA TSA MOSALI EA ENTSOENG SEHLABELO,negative
MOCHOCHISI O KHOLA M50 000 KA LETSATSI,negative
MOETAPELE O KOETELA PROJECT EA LEKALA,negative
MONNA EA NENG A NYAMELE OA TSETOLLOA,positive
MOAHLOLI E MOHOLO O RE HO LEKANE KA BAAHLOLI BA MELATA,negative
LEKHOTLA LE PHAHAMENG LE FANYEHA 'MOLAI OA NGOANANA EA LILEMO LI HLANO,positive
LIKAPESO TSA SEKOLO SA THUPELO EA BAOKI,positive
BONA BAOKAMELI BA BANYANE BA SESOLE,positive
BASUOE BA HLAHA KHOTLA KA PELAELO EA POLAO EA MOSHEMANE,negative
SEPOLESA SE QHAUTSA LESHOLU ,positive
HO TLA TŠOARELOA THAPELO MOO SEBOHOLI SE TIMELETSENG,positive
NGOANANA O PHOLOSOA  A LEKA HO IPHANYEHA ,negative
MASOLE A FEPJOA PAPA KA IMANA LE LIKHOBE,negative
BAAHISANE BA THIBILE MONNA A ILO LAHLELA MOSALI KA NTLOANENG,positive
KOMPONE E THAKHOLA LIBUKA,positive
MORA O PHONYOHA LEFU,positive
MOSALI O SA TSA HLAJOA KA THIPA ,negative
MOOKAMELI O TŠIRELETSA BABOLAI BA MOITHUTI,negative
LITABA TSA MOSALI'A BALAUOENG LI HLAHISA MOHLONO,negative
MOKHATLO O THAKHOLA BOITUKISO LIKOLUOENG,positive
MASUPA-TSELA A FUOA THUPELO,positive
BANA BA BANANA BA FUMANOA BA PHAPHAMETSE KA LETAMONG,negative
MOSALI OAKA O BOPA MEKOTLA KA PAPA,positive
E NTSE E LE LILLO KAMORA HORE KHASE E PHAHLOHE,negative
LIQOILI TSA SEPOLESA LI INOLA MOTHO,positive
SEPOLESA SE FANA KA MALI,positive
NYATSI E FELLOA KE BOPHELO E LE TSELENG E EANG SEPETLELE,negative
MOHLANKA O TOBANE LE QOSO EA HO QHEKETSA,negative
LETONA LA MEHLENG LE HLOLOA HO LEFA SEKOLOTO ,negative
MOFU O FIHLA SEPETLELE HOSEEEENG KA MATJEKE,negative
KAJENO KE LETSATSI LE LEHOLO LA TSOALO EA MORENA,positive
METEBO EA SEPOLESA E TLA ABELOA MAKOLOI A MACHA BOESA,positive
LIKAPESO SEKOLONG SE SEHOLO,negative
LESEA LE KHEHLETSA MAKOEBA KAMORA HO METOA KE RAKHALI OA LONA,negative
BONA LEPOLESA LE BOLAILENG MOTHO,negative
MOPARAMENTE O LO LOKISA TSELA EA HABO KA SONTAHA,positive
MOHOEBI O REKA SEFOFANE SE SECHA O HLOLISA 'MUSO,positive
BA KHABELA NAMA EA NTJA,negative
BALATELI BA PHATHI BA BATLA MOETAPELE A LELEKE MOPARAMENTE OA BOHLANO,negative
MOOKAMELI OA SEPOLESA O ETELA KEREKE,positive
MOTLATSI OA TONAKHOLO O KETEKA LE BASALI,positive
MOTHO O FELLOA KE BOPHELO KA HO TSEKA BAETI,negative
SEPOLESA SE KOPA HO BATLISOA LESHOLU LA CHELETE EA 'MUSO,negative
LETAMO LE NTSE LE TŠOLOHA HOSENG HOA KAJENO BATHO BA KA PALAMA MAKOLOI,positive
MONNA O QOSOA KA BOSHOLU BA THEPA EA MARANG-RANG,negative
TONAKHOLO O FETOLA NAHA KA BEKE,positive
BAKHETHOA BA THUSA SECHABA KA TEMO,positive
TONAKHOLO O HLAHA A PALAME KA THATAA HEE LE HONA O E KOTSOMETSE,positive
BASHANYANA BA PITLOA LILEMO TSE MASHOME A MARARO CHANKANENG,negative
MOSUOE-HLOOHO O THUNYELITSOE LEFU BASHEMANENG MAOBANE,negative
TABA E NYAROSANG ,negative
SEPOLESA SE MALALA A LAOTSOE HO THIBELA LITLOLO TSA MOLAO,positive
TSA MORAO-RAO TSA LITOPO TSE FUMANOENG MATHEBE,negative
MONNA O KAPILE MOSALI KA SELEPE,negative
MAPOLESA A QHAUTSA 'MOLAI OA MOSALI,positive
LEPOLESA LE BOLAEA MOITHUTI KAMORA NAKO LE KHUTLISETSOA MOSEBETSING,negative
LITHO TSA MOKHA LI KOATILE HAPE,negative
SEPOLESA SE BUA LE SECHABA,positive
SEBINI SA NAHA SE FOHLA MOSE KA LITOPO,positive
HO NKHA SEPUTA SA BOBOLU LIOFISING TSA RAMOLAO E MOHOLO OA 'MUSO,negative
NTOA EA MARENA E EA LOELA ,negative
HO FUMANOA LITOPO KA HARA MOFILIBITHI OA MOHLOA,negative
NGOANA O BETELOA MAHLONG A 'MAE KE NYATSI,negative
TSEBA MARENA A SEHLOOHO,neutral
MONNA ENOA O FUMANOE A NTSE A TAKA MAKOLOI LE LIKEITI TSA BATHO KA MERIANA,negative
MOHOEBI O THUNTSE MOKHANNI FEELA LEKHOTLA LE RE HA ANA MOLATO,negative
PHATHI E LOKISA LITSELA MOO E HAPILENG LIKHETHO,positive
TSEBA KA LEKALA,neutral
NAHA E RE HA E BATLE MOSALI EA TANTŠANG A TSOTSE,negative
LESECHURITHI LE LATSOISOA HLOOANA EA MOKHOABANE A NTSE A KOKOTELA BASALI,negative
MOAHO OA KOMPONE O REKISITSOE KA LIPABI,negative
BA TSEKISA TONAKHOLO JUNIFOMO,negative
KOMPONE EA MARANG-RANG E OTLOLLA TABA,positive
BANNA BA TŠOARA  KAMPO BA LE MAPONA-PONA BA NKA MATSATSI A MABELI BA TSOLELANA,negative
SECHABA SE TSIETSING NAHENG E MOSE,negative
MOKHETHOA O REKELA SEPOLESA,positive
BATHO BA NTŠA TONAKHOLO MEJO HANONG,negative
BANNA BA IPHETOLA TŠUPA THEPENG EA SECHABA ,negative
KOLOI E QETA HO BOLAEA MOSALI O ITAHLETSE KA TSELENG EKA O KOPA THUSO,negative
MONNA O KHAMA NGOANA OA HAE HO FIHLELA A NEHELA MOEA SETEREKENG,negative
MOHLOLI E MONYANE O ETELA MAPOLESA,positive
LITICHERE LI INYAKATSA KA BARUTUOA SEKOLONG SE PHAHAMENG,negative
NYEOE EA TONAKHOLO LE MOHATSA OA HAE E TLO QHALOA,negative
BONA MOTSAMAISI E MONYANE OA LIPUISANO KA PARAMENTENG,positive
BISHOP O HLOKAHETSE,negative
EHLILE HO BOIMA HO MOFU HO QOBA LEBITLA,negative
SPRINTER SE SOAHLAMANA KOLOING EA MAFURA TOROPONG,negative
BANNA BA BABELI BA QOSOA KA POLAO EA MOTHO,negative
MOPARAMENTE OA MEHLENG O SHAPELA TONAKHOLO LEHOFI,positive
TONAKHOLO O FANA KE TLALEHO EA LITŠEPISO,positive
POLELO MABAPI LE LIKETSAHALO TSE NTSENG LI ETSAHALA SEKOLONG,neutral
LIKEREKE LI ETELOA KE SEPOLESA,positive
MAHLABISA LIHLONG A MEPUTSO,negative
MONNA OA MOLATA O BETA NGOANANA EA LILEMO LI 15 SETEREKENG,negative
BONA NGOANA OA SEKOLO EA IPOLAILENG,negative
SEPOLESA SE TSOA PUO KA POLAO EA MOPARAMENTE OA MEHLENG,negative
LEKALA LE NKA MOHOEBI KA LECHOBA,negative
MONNA EA FUMANOENG HAHA LE MOSALI OA MOTHO O QOSOA M5500 LEKHOTLENG LA MORENA MOKHOTLONG,negative
MEKONTERAKA EA LETAMO E ROBALA BANA BA TLASE LILEMONG,negative
TONAKHOLO O BOELA A BITSA BAPHATLALATSI BA LITABA ,neutral
BASE BA SUNTSE LEPOLESA SEETA BAITHUTI BA SEKOLO,negative
MONNA OA HORA-HORA MOSHANYANA KA PAPENG,negative
MOLEBELI KOMPONENG O RULELA MATLO,positive
TSEBA KA SEKOLO SA KOETLISO,neutral
MOCHOCHISI O FUPARISITSOE M30 000 HO SENYA NYEOE EA MOHOEBI,negative
MONNA O QOSOA KA HO TLEPETSA MOKHETHOA KA MAJOE,negative
LE TLO NYANYA TAMI E SHEBANG BA NOANG TAI NTSE BA KHANNA,neutral
MOKHATLO O FA SEPOLESA MOAHO,positive
BOROKHO BONA BA NOKA BO SE NTSE BO AHOA,positive
O BELAELLOA KA BOQHEKANYETSI BA JOALA BA M90 000,negative
BA BOLAEA MOQHOBI LE MOTHUSI OA HAE MOTSENG,negative
BONA LETŠA LEO MOSALI A NOETSENG HO LONA MOTSENG,negative
SEBOHOLI SE HLASELA 'MUSO,negative
MAFAPHA A TŠIRELETSO A NKILE 'MUSO,negative
MOKHA OA POLOTIKI O RE O TLO KENYA BOTABANE MOLAONG,negative
MONNA O QOSOA KA HO NTŠA MOTHO LIKOTSI,negative
LESEA LA NGOANANA LE QETA HO FUMANOA KA LERAKONG,negative
NAHA E ETSA LIHLOOHO TSA LITABA LEFATŠENG KA BOTLOKOTSEBE,negative
PHATHI E HIRILE LIKOLOI TSA BOSHOLU 'MUSONG,negative
MOSALI O AHLOLELOA HO ETSA THOBALANO MAHLONG A BANA BA HAE,negative
MONNA O FETOHA MOSALI KAMORA HO TSUNYA-TSUNYANA LE MOHALA OA LETSOHO,negative
BONA LESOLE LE THUNYELITSENG MOSALI'A LONA LEFU,negative
LIFOTO TSA MOFUMAHALI OA SEBOHOLI LI TŠOARA SECHABA HABOHLOKO,negative
HA MOTHO A SA BE BE KAROLO EA BOTHATA HA HO BONOLO HO UTLOISISA MATHATA A SECHABA,neutral
UTLOA SEALUMA SE HLAHILENG MOTSENG,negative
BANNA BA QHAUTSOA KE SEPOLESA BA NTSE BA CHEKA LEBITLA BOSIU,negative
MONNA O AHLOLOA LILEMO TSE 10 KAMORA HO BETA NGOANA ,negative
BAFU BA NE BA BALAOE KA SETHUNYA MOTSENG,negative
SEBINI KE MOFU,negative
BARUTOANA BA SEKOLO BA HOBOSA TICHERE ,negative
'MILA O QETA LIKOLOI,negative
MOQOSUOA POLAONG EA LEPARAMENTE O FUOE BEILE SA SEKETE SA MALOTI,negative
MOPOLOTIKI O PHAHLOLA MERERO EA TONAKHOLO EA SEKHUKHU,positive
MACHAENA A REKISA LIBOLU SEPOLESA SE LI PHUTHILE KAJENO,negative
SESOLE SE KETEKA BOIPUSO NTOENG,positive
BANNA BA KHOLA PHALO HA BA ELELLOA HORE BA KENTSOE MEREBELE ,negative
MOBU O HELEHELA KA TSELENG,negative
BONA LIKHOHLO TSEO MORENA A FUMANOENG HO TSONA,negative
MOETAPELE O ETELA MALAPA A BAFU BA TIMETSENG KOTSING EA KOLOI,negative
SECHABA SE BOLAISA MAKHOMOSHA PHAFA,negative
LETOLO LE BOLAILE MOHLANKANA LE MO CHESITSE MAOTONG LA MO TABOLELA LIPHAHLO,negative
LORI EA SAMENTE E PHETHOHILE TSELENG,negative
MOSALI O QOSOA KA BOSHOLU BA THEPA EA MOO A SEBETSANG ,negative
MONNA O RE BATHO KE LITHOTHO,negative
MOETAPELE O TŠEHA BAITŠOKOLI,negative
MOKHOSI,negative
NGOETSI E INOLA KA LETŠENG E SE E E MOFU,negative
MOOKAMELI  O MENYELETSA 'MUSO ,negative
TSEBISO EA SEPOLESA,neutral
MONNA O QOSOA KA PETO EA NGOANANA,negative
MONNA O LEBANYA THEBE LE MAPOLESA A MO PHUNYA MASOBA A KULO,negative
BACHA BA RE MOLAO O MASOBA,negative
LIKHOMO LI FUMANOA KA MORUNG ,negative
SEPOLESA SE NTSE SE SO FIHLE MOO NTJA E FUMANOENG E MOMME SETOTSOANA,negative
SECHABA SE QETA HO QHAUTSA RASETHUNYA,positive
KOTSI E MPE EA KOLOI SETEREKENG SANTENG,negative
NGOANA O NTSE A SO FUMANOE SETEREKENG,negative
SEPOLESA SE THEHA SETSOALLE LE TAMENE,positive
MOHLASELI OA SEPETLELE O HLAHA KHOTLA,negative
